"Reporter Name"	"US_NE_rawData_r1"	"US_NE_rawData_r2"
"pos-controls-6109"	89.69	78.88
"pos-controls-6110"	77.57	56.39
"pos-controls-6111"	75.42	87.05
"pos-controls-6112"	74.65	68.33
"pos-controls-6149"	77.06	71.71
"pos-controls-6150"	78.31	64.4
"pos-controls-6151"	75.76	73.87
"pos-controls-6152"	88.49	68.56
"pos-controls-6221"	171.31	119.29
"pos-controls-6222"	162.52	211.65
"pos-controls-6223"	194.37	157.8
"pos-controls-6224"	183.04	168.47
"pos-controls-6225"	182.43	165.62
"pos-controls-6226"	173.29	171.86
"pos-controls-6227"	202.41	197.75
"pos-controls-6228"	127.55	153.59
"pos-controls-6249"	163.92	131.28
"pos-controls-6250"	145.07	117.68
"pos-controls-6251"	158.68	152.19
"pos-controls-6252"	126.35	110.07
"pos-controls-6273"	66.86	57.58
"pos-controls-6274"	68.81	69.73
"pos-controls-6275"	77.74	66.76
"pos-controls-6276"	64.09	67.22
"pos-controls-6333"	570.55	303.84
"pos-controls-6334"	397.77	301.47
"pos-controls-6335"	501.88	452.11
"pos-controls-6336"	495.42	431.88
"pos-controls-6341"	86.54	86.78
"pos-controls-6342"	90.61	93.45
"pos-controls-6343"	70.67	100.95
"pos-controls-6344"	100.91	78.45
"pos-controls-6345"	243.93	241.29
"pos-controls-6346"	199.66	318.87
"pos-controls-6347"	229.43	254.96
"pos-controls-6348"	243.09	203.98
"pos-controls-6457"	102.2	89.75
"pos-controls-6458"	60.05	72.9
"pos-controls-6459"	70.68	59.66
"pos-controls-6460"	94.42	74.05
"pos-controls-6461"	130.64	54.36
"pos-controls-6462"	76.51	57.79
"pos-controls-6463"	70.29	70.34
"pos-controls-6464"	50.31	51.59
"pos-controls-6465"	97.89	104.36
"pos-controls-6466"	97.01	86.63
"pos-controls-6467"	102.39	104.52
"pos-controls-6468"	130.76	82.81
"pos-controls-6469"	119.5	127.7
"pos-controls-6470"	139.98	140.89
"pos-controls-6471"	130.64	142.66
"pos-controls-6472"	108.17	101.17
"pos-controls-6509"	1255.32	1233.14
"pos-controls-6510"	1302.9	1458.96
"pos-controls-6511"	1524.41	1717.46
"pos-controls-6512"	1235.48	1282.17
"pos-controls-6529"	1870.59	1865.17
"pos-controls-6530"	1770.85	1484.35
"pos-controls-6531"	1819.41	1635.79
"pos-controls-6532"	1628.62	1994.58
"tcruzi-351"	115.36	115.54
"tcruzi-973"	403.48	402.35
"tcruzi-1480"	217.22	227.07
"tcruzi-1484"	378.62	197.73
"tcruzi-1485"	306.32	259.64
"tcruzi-1489"	331.16	319.94
"tcruzi-1491"	182.82	178.2
"tcruzi-1492"	219.91	187.46
"tcruzi-1493"	241.01	250.99
"tcruzi-1494"	531.07	481
"tcruzi-1495"	211.91	195.94
"tcruzi-1496"	205.08	204.61
"tcruzi-1969"	3856.33	3212.94
"tcruzi-2082"	47.97	46.63
"tcruzi-2759"	62.24	71.66
"tcruzi-2980"	46.36	48.46
"tcruzi-3292"	148.3	171.71
"tcruzi-4076"	40.87	39.36
"tcruzi-5424"	124.81	101.54
"tcruzi-6869"	101.76	102.98
"tcruzi-8451"	75.04	74.11
"tcruzi-8453"	996.25	1086.21
"tcruzi-8454"	291.53	253.47
"tcruzi-8457"	428.1	416.45
"tcruzi-8460"	594.98	712.83
"tcruzi-8461"	187.04	188.03
"tcruzi-8497"	203.52	207.37
"tcruzi-11286"	242.44	249.28
"tcruzi-11494"	149.68	137.33
"tcruzi-11689"	142.07	95.43
"tcruzi-11690"	130.97	122.77
"tcruzi-11758"	113.06	87.95
"tcruzi-11840"	53.7	49.99
"tcruzi-12984"	103.19	77.66
"tcruzi-13922"	158.23	56.49
"tcruzi-19981"	56.99	58.63
"tcruzi-20087"	123.25	95.42
"tcruzi-20377"	49.56	51.03
"tcruzi-21031"	54.34	60.62
"tcruzi-21625"	359.55	304.84
"tcruzi-22236"	96.67	108.5
"tcruzi-22421"	2047.98	1711.13
"tcruzi-22486"	93.51	75.41
"tcruzi-22732"	79.41	82.27
"tcruzi-23056"	37.26	39.77
"tcruzi-23252"	58.13	46.95
"tcruzi-28344"	108.08	117.07
"tcruzi-28355"	55.31	54.98
"tcruzi-29043"	77.21	67.99
"tcruzi-33515"	73.22	63.26
"tcruzi-36290"	38.36	39.75
"tcruzi-37373"	148.65	118.48
"tcruzi-37894"	47.63	36.87
"tcruzi-39216"	71.12	110.86
"tcruzi-39860"	199.6	224.28
"tcruzi-40101"	147.05	118.79
"tcruzi-40353"	131.67	152.16
"tcruzi-40405"	249.56	341.06
"tcruzi-42465"	74.23	71.31
"tcruzi-43795"	197.21	285.59
"tcruzi-43847"	186.38	146.34
"tcruzi-45055"	58.81	68.78
"tcruzi-45274"	98.49	112.03
"tcruzi-46089"	79.19	74.18
"tcruzi-47363"	3851.74	4333.64
"tcruzi-47364"	4122.92	4267.75
"tcruzi-47365"	4929.64	5495.37
"tcruzi-47367"	3841.81	3921.75
"tcruzi-47368"	3461.1	3630.33
"tcruzi-47379"	2499.14	2686.37
"tcruzi-48560"	405.69	338.48
"tcruzi-49733"	55.44	58.13
"tcruzi-49734"	263.25	255.87
"tcruzi-49967"	80.84	63.25
"tcruzi-50169"	112.05	87.83
"tcruzi-52591"	92.99	111.59
"tcruzi-52708"	57.14	63.58
"tcruzi-53523"	72.46	81.41
"tcruzi-53827"	53.78	46.48
"tcruzi-54198"	284.43	336.06
"tcruzi-55058"	114.33	114.64
"tcruzi-56112"	136.5	118.4
"tcruzi-56254"	95.26	102.55
"tcruzi-58173"	141.49	145.61
"tcruzi-58355"	91.56	68.47
"tcruzi-59587"	121.01	114.18
"tcruzi-61024"	83.76	79.12
"tcruzi-61084"	513.76	321.31
"tcruzi-62969"	149.46	149.57
"tcruzi-62994"	83.39	79.34
"tcruzi-65336"	98.66	73.98
"tcruzi-67123"	353.34	299.36
"tcruzi-67285"	1135.37	1087.05
"tcruzi-67300"	122.21	99.3
"tcruzi-67860"	137.45	99.57
