"Reporter Name"	"MX_NE_rawData_r1"	"MX_NE_rawData_r2"
"pos-controls-6109"	57.2	73.98
"pos-controls-6110"	53.87	78.1
"pos-controls-6111"	60.07	72.52
"pos-controls-6112"	224.36	95.18
"pos-controls-6149"	395.2	395.06
"pos-controls-6150"	454.93	572.3
"pos-controls-6151"	309.26	328.08
"pos-controls-6152"	339.38	312.47
"pos-controls-6221"	96.87	158.53
"pos-controls-6222"	134.04	265.83
"pos-controls-6223"	111.93	294.23
"pos-controls-6224"	99.76	241.8
"pos-controls-6225"	126.93	335.8
"pos-controls-6226"	143.29	447.33
"pos-controls-6227"	124.71	431.21
"pos-controls-6228"	126.78	287.54
"pos-controls-6249"	94.81	232.54
"pos-controls-6250"	106.92	230.98
"pos-controls-6251"	114.9	305.61
"pos-controls-6252"	96.13	250.93
"pos-controls-6273"	82.12	196.92
"pos-controls-6274"	77.85	177
"pos-controls-6275"	78.02	204.12
"pos-controls-6276"	98.05	174.81
"pos-controls-6333"	301.94	274.56
"pos-controls-6334"	408.64	411.06
"pos-controls-6335"	405.04	383.26
"pos-controls-6336"	319.15	368.79
"pos-controls-6341"	97.76	132.71
"pos-controls-6342"	102.06	197.69
"pos-controls-6343"	174.07	124.75
"pos-controls-6344"	84.36	136.29
"pos-controls-6345"	185.17	281.38
"pos-controls-6346"	141.41	223.57
"pos-controls-6347"	198.95	274.82
"pos-controls-6348"	193.28	232.85
"pos-controls-6457"	77.54	153.89
"pos-controls-6458"	88.22	217.13
"pos-controls-6459"	74.39	155.95
"pos-controls-6460"	81.06	155.68
"pos-controls-6461"	61.86	84.88
"pos-controls-6462"	58.2	71.02
"pos-controls-6463"	65.46	89.34
"pos-controls-6464"	70.22	95.78
"pos-controls-6465"	104.75	199.01
"pos-controls-6466"	110.69	205.44
"pos-controls-6467"	107.29	197.04
"pos-controls-6468"	106.5	209.23
"pos-controls-6469"	92.09	122.28
"pos-controls-6470"	89.06	126.59
"pos-controls-6471"	94.73	200.87
"pos-controls-6472"	79.01	122.17
"pos-controls-6509"	94.63	163.27
"pos-controls-6510"	93.56	128.74
"pos-controls-6511"	80.11	165.13
"pos-controls-6512"	71.28	140.59
"pos-controls-6529"	75.19	90.95
"pos-controls-6530"	71.36	80.89
"pos-controls-6531"	83.13	92.78
"pos-controls-6532"	69.57	98.43
"tcruzi-351"	308.71	850.19
"tcruzi-973"	6842.74	13639.49
"tcruzi-1480"	487.06	338.94
"tcruzi-1484"	543.08	1014.36
"tcruzi-1485"	580	1679.44
"tcruzi-1489"	709.93	1408.15
"tcruzi-1491"	617.64	1553.31
"tcruzi-1492"	724.22	1305.57
"tcruzi-1493"	932.99	1737.04
"tcruzi-1494"	686.45	1574.28
"tcruzi-1495"	625.7	1766.69
"tcruzi-1496"	590.31	1819.88
"tcruzi-1969"	250.05	726.08
"tcruzi-2082"	90.31	148.9
"tcruzi-2759"	100.83	104.92
"tcruzi-2980"	48.41	81.49
"tcruzi-3292"	193.66	367.95
"tcruzi-4076"	53.76	64.93
"tcruzi-5424"	189.07	340.85
"tcruzi-6869"	82.36	82.62
"tcruzi-8451"	104.19	206.5
"tcruzi-8453"	129.92	302.32
"tcruzi-8454"	140.58	314.53
"tcruzi-8457"	178.2	620.18
"tcruzi-8460"	173.63	350.9
"tcruzi-8461"	175.47	315.08
"tcruzi-8497"	208.61	417.57
"tcruzi-11286"	78.21	88.98
"tcruzi-11494"	821.99	1682.39
"tcruzi-11689"	188.1	375.3
"tcruzi-11690"	75.37	95.66
"tcruzi-11758"	68.91	88.39
"tcruzi-11840"	56.88	107.87
"tcruzi-12984"	133.37	227.79
"tcruzi-13922"	54.86	106.22
"tcruzi-19981"	73.99	151.91
"tcruzi-20087"	104.27	143.61
"tcruzi-20377"	57.27	98.09
"tcruzi-21031"	63.65	129.28
"tcruzi-21625"	411.53	604.77
"tcruzi-22236"	1160.08	2364.98
"tcruzi-22421"	315.15	142.78
"tcruzi-22486"	83.75	132.83
"tcruzi-22732"	98.92	272.77
"tcruzi-23056"	56.7	114.67
"tcruzi-23252"	54.71	92.45
"tcruzi-28344"	140.54	286.99
"tcruzi-28355"	80.11	210.47
"tcruzi-29043"	71.16	115.41
"tcruzi-33515"	61.83	101.16
"tcruzi-36290"	47.28	70.68
"tcruzi-37373"	98.58	151.82
"tcruzi-37894"	72.45	196.54
