"Reporter Name"	"CO_PO_normalizedData_r1"	"CO_PO_normalizedData_r2"
"pos-controls-6464"	130.61	121.46
"pos-controls-6465"	7033.97	6085.76
"pos-controls-6466"	7180.76	6260.49
"pos-controls-6467"	7358.72	6892.68
"pos-controls-6468"	6637.28	6520.07
"pos-controls-6469"	106.97	118.72
"pos-controls-6470"	124	133.8
"pos-controls-6471"	99.62	102.86
"pos-controls-6472"	143.16	109.48
"pos-controls-6509"	13910.44	16936.92
"pos-controls-6510"	14036.03	19382.6
"pos-controls-6511"	13405.49	21007.42
"pos-controls-6512"	13770.17	19543.6
"pos-controls-6529"	23192.52	28909.02
"pos-controls-6530"	20783.63	28229.64
"pos-controls-6531"	23770.87	29908.39
"pos-controls-6532"	19791.38	26054.09
"pos-controls-705"	271.06	414.11
"pos-controls-706"	240.52	361.33
"pos-controls-707"	200	374.15
"pos-controls-708"	226.41	367.41
"pos-controls-773"	36193.81	38814.29
"pos-controls-774"	38548.33	40949.59
"pos-controls-775"	42374.79	42492.45
"pos-controls-776"	38964.14	41498.33
"pos-controls-777"	36965.41	21804.14
"pos-controls-778"	37404.91	23050.37
"pos-controls-779"	36798.01	23280.32
"pos-controls-780"	37956.77	21887.7
"pos-controls-813"	123.54	94.08
"pos-controls-814"	84.56	87.54
"pos-controls-815"	129.72	110.54
"pos-controls-816"	97.62	122.32
"pos-controls-829"	7845.11	10118.45
"pos-controls-830"	9481.03	10609.7
"pos-controls-831"	7630.29	9218.54
"pos-controls-832"	8440.11	9690.16
"pos-controls-893"	83.27	75.14
"pos-controls-894"	98.17	83.17
"pos-controls-895"	155.89	179.97
"pos-controls-896"	115.9	120.87
"pos-controls-949"	5200.54	5200.54
"pos-controls-950"	6428.15	6849.22
"pos-controls-951"	5856.09	8057.26
"pos-controls-952"	2788.69	6154.62
"pos-controls-953"	23726.08	29304.28
"pos-controls-954"	29184.71	30680.64
"pos-controls-955"	24686.41	27583.82
"pos-controls-956"	22534.95	28856.22
"tcruzi-1000738"	120.74	194.78
"tcruzi-1001695"	720.64	170.08
"tcruzi-1001711"	750.58	718.5
"tcruzi-100230"	167.27	166.77
"tcruzi-1004100"	2336.31	2697.39
"tcruzi-100430"	93.73	325.53
"tcruzi-1005046"	187.25	225.9
"tcruzi-1005067"	323.16	404.68
"tcruzi-1005305"	367.71	177.25
"tcruzi-1005482"	152.39	168.04
"tcruzi-1007326"	119.18	138.46
"tcruzi-1007826"	1381.46	1449.45
"tcruzi-1007853"	211.78	229.75
"tcruzi-1008370"	75.52	98.12
"tcruzi-100869"	5980.13	1333.88
"tcruzi-1010241"	585.48	154.84
"tcruzi-1010971"	123.86	181.26
"tcruzi-101139"	143.16	144.66
"tcruzi-1011528"	476.7	373.46
"tcruzi-1014035"	124.88	108.03
"tcruzi-1014467"	141.22	240.77
"tcruzi-1014513"	69.64	68.68
"tcruzi-1016586"	70.59	51.56
"tcruzi-1017121"	289.83	193.69
"tcruzi-1017825"	80.26	89.63
"tcruzi-1019097"	225.45	189.52
"tcruzi-1020644"	204.38	261.86
"tcruzi-102076"	105.46	132.87
"tcruzi-1022489"	257.01	239.66
"tcruzi-1023491"	198.31	156.12
"tcruzi-1023539"	251.89	235.09
"tcruzi-1024789"	143.78	161.29
"tcruzi-1025150"	326.19	300.18
"tcruzi-1025367"	483	461.7
"tcruzi-1025720"	24615.68	28433.67
"tcruzi-1025721"	13591.59	17767.13
"tcruzi-1026307"	8964.75	8964.75
"tcruzi-1026309"	3632.14	5486.47
"tcruzi-1026310"	21887.7	27208.39
"tcruzi-1026311"	1929.53	1998.58
"tcruzi-1026312"	18459.71	24140.05
"tcruzi-1026317"	21319.62	24686.41
"tcruzi-1027797"	190.76	211.1
"tcruzi-1028387"	89.07	102.71
"tcruzi-1028589"	165.5	151.86
"tcruzi-1028592"	44060.23	42156.55
"tcruzi-1028593"	43101.19	44866.13
"tcruzi-1028596"	15939.21	12018.83
"tcruzi-102951"	116.67	100
"tcruzi-1029730"	952.21	985.35
"tcruzi-102996"	46.17	50.88
"tcruzi-1030119"	9541.6	15303.31
"tcruzi-1030161"	170.77	170.21
"tcruzi-1031344"	147.2	172.52
"tcruzi-1032192"	524.31	588.55
"tcruzi-1032967"	257.63	341.29
"tcruzi-1034083"	273.34	140.68
"tcruzi-1035077"	6799.8	7667.98
"tcruzi-1035078"	7750.45	13090.43
