"Reporter Name"	"BR_NE_normalizedData_r1"	"BR_NE_normalizedData_r2"
"tcruzi-1011528"	117.38	129.26
"tcruzi-1014035"	69.79	81.01
"tcruzi-1014467"	103.37	95.4
"tcruzi-1014513"	70.23	64.05
"tcruzi-1016586"	48.53	45.6
"tcruzi-1017121"	1005.63	654.58
"tcruzi-1017825"	63.38	63.42
"tcruzi-1019097"	98.88	75.89
"tcruzi-1020644"	216.18	198.2
"tcruzi-102076"	56.14	86.72
"tcruzi-1022489"	220.85	131.64
"tcruzi-1023491"	110.41	89.62
"tcruzi-1023539"	125.49	127.99
"tcruzi-1024789"	88.46	80.68
"tcruzi-1025150"	109.58	95.05
"tcruzi-1025367"	166.24	199.47
"tcruzi-1025720"	169.7	129.89
"tcruzi-1025721"	137.91	100.84
"tcruzi-1026307"	3947.64	4691.48
"tcruzi-1026309"	1991.2	154.13
"tcruzi-1026310"	1221.64	167.82
"tcruzi-1026311"	1337.83	1681.72
"tcruzi-1026312"	1228.51	158.24
"tcruzi-1026317"	656.62	327.37
"tcruzi-1027797"	67.21	139.39
"tcruzi-1028387"	79.02	81.47
"tcruzi-1028589"	137.03	133.03
"tcruzi-1028592"	269.53	126.92
"tcruzi-1028593"	214.84	173.59
"tcruzi-1028596"	283.73	151.98
"tcruzi-102951"	119.42	81.12
"tcruzi-1029730"	947.64	699.16
"tcruzi-102996"	49.04	41.83
"tcruzi-1030119"	5497.09	357.47
"tcruzi-1030161"	72.85	76.46
"tcruzi-1031344"	303.64	175.03
"tcruzi-1032192"	106.13	88.25
"tcruzi-1032967"	3323.6	2118.56
"tcruzi-1034083"	220.4	141.56
"tcruzi-1035077"	107.86	133.54
"tcruzi-1035078"	215.03	170.32
"tcruzi-1035080"	82.98	71.5
"tcruzi-1035095"	42.69	1584.89
"tcruzi-1035330"	68.73	65.43
"tcruzi-1035452"	75.46	73.33
"tcruzi-1035831"	1313.2	589.01
"tcruzi-1036424"	82.98	90.03
"tcruzi-1036899"	167	101.52
"tcruzi-1037510"	107.6	60.37
"tcruzi-1038739"	129.72	93.15
"tcruzi-1039442"	58.33	81.25
"tcruzi-1039443"	98.3	120.8
"tcruzi-1040693"	99.95	86.81
"tcruzi-1040731"	628.91	300.77
"tcruzi-1041302"	1558.03	167.69
"tcruzi-1041708"	225.15	227.47
"tcruzi-1041867"	114.11	117.18
"tcruzi-1042509"	71.24	55.73
"tcruzi-1043101"	3572.73	2206.61
"tcruzi-1043105"	840.5	267.56
"tcruzi-1043430"	143.35	123.61
"tcruzi-1043597"	68.51	119.13
"tcruzi-104363"	199.82	366.86
"tcruzi-1045857"	74.4	103.34
"tcruzi-1047130"	179.3	126.21
"tcruzi-1047131"	472.28	199.82
"tcruzi-1047216"	98.06	95.46
"tcruzi-1048656"	97.26	77.18
"tcruzi-104933"	67.09	95.35
"tcruzi-1049456"	483.68	157.02
"tcruzi-1049457"	156.74	73.69
