"Reporter Name"	"LE_NE_normalizedData_r1"	"LE_NE_normalizedData_r2"
"tcruzi-1036899"	169.55	216.53
"tcruzi-1037510"	83.47	80.99
"tcruzi-1038739"	132.29	151.74
"tcruzi-1039442"	91.9	74.77
"tcruzi-1039443"	144	163
"tcruzi-1040693"	81.09	93.35
"tcruzi-1040731"	280.19	266
"tcruzi-1041302"	291.76	305.94
"tcruzi-1041708"	297.08	308.09
"tcruzi-1041867"	114.71	123.27
"tcruzi-1042509"	70.06	82.69
"tcruzi-1043101"	551.5	548.91
"tcruzi-1043105"	305.94	326.58
"tcruzi-1043430"	139.5	132.23
"tcruzi-1043597"	172.29	209.58
"tcruzi-104363"	993.88	626.8
"tcruzi-1045857"	207.9	340.8
"tcruzi-1047130"	194.5	170.13
"tcruzi-1047131"	275.25	262.54
"tcruzi-1047216"	256.48	229.85
"tcruzi-1048656"	75.75	74.97
"tcruzi-104933"	79.16	84.76
"tcruzi-1049456"	914.33	1118.14
