"Reporter Name"	"MX_PO_normalizedData_r1"	"MX_PO_normalizedData_r2"
"pos-controls-6465"	5830.3	8377.29
"pos-controls-6466"	5980.13	8788.83
"pos-controls-6467"	5768.38	8695.35
"pos-controls-6468"	5589.67	8079.13
"pos-controls-6469"	100.75	111.69
"pos-controls-6470"	130.2	111.1
"pos-controls-6471"	136.03	94.99
"pos-controls-6472"	100.75	102.71
"pos-controls-6509"	1588.95	2151.7
"pos-controls-6510"	1794.41	2165.1
"pos-controls-6511"	1853.85	2362.29
"pos-controls-6512"	1651.61	2381.76
"pos-controls-6529"	19382.6	24957.87
"pos-controls-6530"	13405.49	20395.4
"pos-controls-6531"	17531.44	28463.76
"pos-controls-6532"	14353.89	15221.86
"pos-controls-705"	180.18	276.77
"pos-controls-706"	213.59	254.49
"pos-controls-707"	201.1	233.49
"pos-controls-708"	194.78	277.46
"pos-controls-773"	30172.98	37618.92
"pos-controls-774"	32816.56	37564.29
"pos-controls-775"	33984.91	39843.92
"pos-controls-776"	34854.39	40222.49
"pos-controls-777"	44950.42	21228.78
"pos-controls-778"	41436.15	21804.14
"pos-controls-779"	47537.69	27823.91
"pos-controls-780"	45318.86	21947.33
"pos-controls-813"	125.76	109.99
"pos-controls-814"	90.05	122.64
"pos-controls-815"	205.2	110.54
"pos-controls-816"	106.01	144.32
"pos-controls-829"	40334.99	16160.25
"pos-controls-830"	42600.38	15981.11
"pos-controls-831"	37956.77	18351.86
"pos-controls-832"	40061.71	14720.09
"pos-controls-893"	82.13	104.2
"pos-controls-894"	110.05	88.02
"pos-controls-895"	192.14	225.66
"pos-controls-896"	105.59	98.58
"pos-controls-949"	1306.29	1459.4
"pos-controls-950"	1396.86	1533.73
"pos-controls-951"	1339.72	1676.8
"pos-controls-952"	1348.09	1510.24
"pos-controls-953"	17389.86	25748.37
"pos-controls-954"	19897.16	30892.41
"pos-controls-955"	19019.67	31028.78
"pos-controls-956"	15221.86	24615.68
"tcruzi-1000738"	1929.53	4866.86
"tcruzi-1001695"	334.11	366.36
"tcruzi-1001711"	102.23	145.89
"tcruzi-100230"	185.77	269.52
"tcruzi-1004100"	154.5	148.88
"tcruzi-100430"	161.62	140.92
"tcruzi-1005046"	299.34	244.15
"tcruzi-1005067"	1394.31	1387.94
"tcruzi-1005305"	245.12	226.64
"tcruzi-1005482"	121.63	157.07
"tcruzi-1007326"	105.52	76.99
"tcruzi-1007826"	161.14	151.26
"tcruzi-1007853"	1764.96	769.54
"tcruzi-1008370"	551.56	105.52
"tcruzi-100869"	1359.51	1560.45
"tcruzi-1010241"	315.36	335.51
"tcruzi-1010971"	337.94	337.69
"tcruzi-101139"	526.38	545.74
"tcruzi-1011528"	154.99	185.15
"tcruzi-1014035"	66.09	121.17
"tcruzi-1014467"	32354.03	83.56
"tcruzi-1014513"	71.94	63.91
"tcruzi-1016586"	64.03	70.38
"tcruzi-1017121"	1487.78	219.58
"tcruzi-1017825"	110.6	70.28
"tcruzi-1019097"	185.65	171.98
"tcruzi-1020644"	286.3	311.21
"tcruzi-102076"	184.61	150.87
"tcruzi-1022489"	213.75	412.7
"tcruzi-1023491"	119.98	127.47
"tcruzi-1023539"	151.96	153.94
"tcruzi-1024789"	86.93	174.36
"tcruzi-1025150"	201.43	231.86
"tcruzi-1025367"	244.37	251.19
"tcruzi-1025720"	21137.2	19477.55
"tcruzi-1025721"	16605.14	16466.12
"tcruzi-1026307"	9397.82	12635.31
"tcruzi-1026309"	7814.74	10895.7
"tcruzi-1026310"	13910.44	12884.26
"tcruzi-1026311"	9690.16	14812.39
"tcruzi-1026312"	10157.54	12018.83
"tcruzi-1026317"	9855.1	14036.03
"tcruzi-1027797"	132.51	171.49
"tcruzi-1028387"	118.72	151.72
"tcruzi-1028589"	444.42	919.84
"tcruzi-1028592"	43242.53	39996.44
"tcruzi-1028593"	43354.86	44678.56
"tcruzi-1028596"	38380.74	44289.4
"tcruzi-102951"	280.05	230.58
"tcruzi-1029730"	214.05	194.55
"tcruzi-102996"	38.77	64.03
"tcruzi-1030119"	7316.3	10013.05
"tcruzi-1030161"	84.99	81.25
"tcruzi-1031344"	528.82	1114.65
"tcruzi-1032192"	782.21	805.72
"tcruzi-1032967"	2522.7	2405.64
"tcruzi-1034083"	27614.74	20942.74
